int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	string	string	string	string	int	int
55047	破风	55035	13	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	2350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55005	15	220	16546	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花时，暴击时候附加<color=#109d06FF>23.5%</color>暴击值	使用天女散花时，暴击时候附加<color=#109d06FF>31%</color>暴击值	被动技能	0	0
55048	破风	55035	14	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	2550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55005	15	220	18892	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花时，暴击时候附加<color=#109d06FF>25.5%</color>暴击值	使用天女散花时，暴击时候附加<color=#109d06FF>33%</color>暴击值	被动技能	0	0
55049	破风	55035	15	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	2750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55005	15	220	21394	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花时，暴击时候附加<color=#109d06FF>27.5%</color>暴击值	使用天女散花时，暴击时候附加<color=#109d06FF>35%</color>暴击值	被动技能	0	0
55050	破风	55035	16	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55005	15	220	24053	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花时，暴击时候附加<color=#109d06FF>30%</color>暴击值	使用天女散花时，暴击时候附加<color=#109d06FF>37%</color>暴击值	被动技能	0	0
55051	破风	55035	17	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	3250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55005	15	220	26868	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花时，暴击时候附加<color=#109d06FF>32.5%</color>暴击值	使用天女散花时，暴击时候附加<color=#109d06FF>39%</color>暴击值	被动技能	0	0
55052	破风	55035	18	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55005	15	220	29839	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花时，暴击时候附加<color=#109d06FF>35%</color>暴击值	使用天女散花时，暴击时候附加<color=#109d06FF>41%</color>暴击值	被动技能	0	0
55053	破风	55035	19	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	3750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55005	15	220	32967	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花时，暴击时候附加<color=#109d06FF>37.5%</color>暴击值	使用天女散花时，暴击时候附加<color=#109d06FF>43%</color>暴击值	被动技能	0	0
55054	破风	55035	20	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55005	15	220	36251	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花时，暴击时候附加<color=#109d06FF>40%</color>暴击值	使用天女散花时，暴击时候附加<color=#109d06FF>45%</color>暴击值	被动技能	0	0
55055	破风	55035	21	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	4300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55005	15	220	39691	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花时，暴击时候附加<color=#109d06FF>43%</color>暴击值	使用天女散花时，暴击时候附加<color=#109d06FF>47%</color>暴击值	被动技能	0	0
55056	破风	55035	22	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	4600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55005	15	220	43288	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花时，暴击时候附加<color=#109d06FF>46%</color>暴击值	使用天女散花时，暴击时候附加<color=#109d06FF>49%</color>暴击值	被动技能	0	0
55057	破风	55035	23	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	4900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55005	15	220	47041	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花时，暴击时候附加<color=#109d06FF>49%</color>暴击值	使用天女散花时，暴击时候附加<color=#109d06FF>51%</color>暴击值	被动技能	0	0
55058	破风	55035	24	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	5200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55005	15	220	50951	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花时，暴击时候附加<color=#109d06FF>52%</color>暴击值	使用天女散花时，暴击时候附加<color=#109d06FF>53%</color>暴击值	被动技能	0	0
55059	破风	55035	25	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	5500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55005	15	220	55017	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花时，暴击时候附加<color=#109d06FF>55%</color>暴击值	使用天女散花时，暴击时候附加<color=#109d06FF>55%</color>暴击值	被动技能	0	0
55065	疾速	55065	1	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	988	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1.2</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1.2</color>秒	被动技能	0	0
55066	疾速	55065	2	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	2099	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1.4</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1.4</color>秒	被动技能	0	0
55067	疾速	55065	3	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	3334	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1.6</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1.6</color>秒	被动技能	0	0
55068	疾速	55065	4	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	4816	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1.8</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1.8</color>秒	被动技能	0	0
55069	疾速	55065	5	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	6545	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2</color>秒	被动技能	0	0
55070	疾速	55065	6	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	8520	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2.2</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2.2</color>秒	被动技能	0	0
55071	疾速	55065	7	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	10742	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2.4</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2.4</color>秒	被动技能	0	0
55072	疾速	55065	8	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	13211	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2.6</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2.6</color>秒	被动技能	0	0
55073	疾速	55065	9	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	15927	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2.8</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2.8</color>秒	被动技能	0	0
55074	疾速	55065	10	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	18890	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3</color>秒	被动技能	0	0
55075	疾速	55065	11	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	22100	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3.2</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3.2</color>秒	被动技能	0	0
55076	疾速	55065	12	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	25557	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3.4</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3.4</color>秒	被动技能	0	0
55077	疾速	55065	13	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	29261	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3.6</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3.6</color>秒	被动技能	0	0
55078	疾速	55065	14	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	33212	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3.8</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3.8</color>秒	被动技能	0	0
55079	疾速	55065	15	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	37410	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>4</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>4</color>秒	被动技能	0	0
55080	疾速	55065	16	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	41855	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>4.2</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>4.2</color>秒	被动技能	0	0
55081	疾速	55065	17	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	46547	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>4.4</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>4.4</color>秒	被动技能	0	0
55082	疾速	55065	18	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	51486	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>4.6</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>4.6</color>秒	被动技能	0	0
55083	疾速	55065	19	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	56671	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>4.8</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>4.8</color>秒	被动技能	0	0
55084	疾速	55065	20	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	62103	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>5</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>5</color>秒	被动技能	0	0
55085	疾速	55065	21	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	67782	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>5.2</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>5.2</color>秒	被动技能	0	0
55086	疾速	55065	22	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	73708	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55000	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>5.4</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>5.4</color>秒	被动技能	0	0
55087	疾速	55065	23	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	79881	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55500	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>5.6</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>5.6</color>秒	被动技能	0	0
55088	疾速	55065	24	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	86301	0	0	0	0	0	4	0	55000	0	0	0	0	0	0	0	TB_JN_ZD_55500	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>5.8</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>5.8</color>秒	被动技能	0	0
55089	疾速	55065	25	25	4	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	15	220	92968	0	0	0	0	0	4	0	55500	0	0	0	0	0	0	0	TB_JN_ZD_55500	-	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>6</color>秒	使用天女散花，30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>6</color>秒	被动技能	0	0
55105	魂兵	55105	1	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4008	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55100	0	220	147	0	0	0	0	0	4	0	55100	0	0	0	0	0	0	0	TB_JN_ZD_55100	-	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>0.8%</color>的技能伤害	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>0.8%</color>的技能伤害	被动技能	0	0
55106	魂兵	55105	2	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4008	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55100	0	220	313	0	0	0	0	0	4	0	55100	0	0	0	0	0	0	0	TB_JN_ZD_55100	-	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>1.1%</color>的技能伤害	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>1.1%</color>的技能伤害	被动技能	0	0
55107	魂兵	55105	3	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4008	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55100	0	220	497	0	0	0	0	0	4	0	55100	0	0	0	0	0	0	0	TB_JN_ZD_55100	-	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>1.4%</color>的技能伤害	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>1.4%</color>的技能伤害	被动技能	0	0
55108	魂兵	55105	4	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4008	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55100	0	220	727	0	0	0	0	0	4	0	55100	0	0	0	0	0	0	0	TB_JN_ZD_55100	-	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>1.7%</color>的技能伤害	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>1.7%</color>的技能伤害	被动技能	0	0
55109	魂兵	55105	5	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4008	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55100	0	220	1003	0	0	0	0	0	4	0	55100	0	0	0	0	0	0	0	TB_JN_ZD_55100	-	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>2%</color>的技能伤害	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>2%</color>的技能伤害	被动技能	0	0
55110	魂兵	55105	6	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4008	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55100	0	220	1325	0	0	0	0	0	4	0	55100	0	0	0	0	0	0	0	TB_JN_ZD_55100	-	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>2.4%</color>的技能伤害	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>2.4%</color>的技能伤害	被动技能	0	0
55111	魂兵	55105	7	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4008	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55100	0	220	1693	0	0	0	0	0	4	0	55100	0	0	0	0	0	0	0	TB_JN_ZD_55100	-	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>2.8%</color>的技能伤害	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>2.8%</color>的技能伤害	被动技能	0	0
55112	魂兵	55105	8	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4008	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55100	0	220	2107	0	0	0	0	0	4	0	55100	0	0	0	0	0	0	0	TB_JN_ZD_55100	-	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>3.2%</color>的技能伤害	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>3.2%</color>的技能伤害	被动技能	0	0
55113	魂兵	55105	9	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4008	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55100	0	220	2567	0	0	0	0	0	4	0	55100	0	0	0	0	0	0	0	TB_JN_ZD_55100	-	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>3.6%</color>的技能伤害	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>3.6%</color>的技能伤害	被动技能	0	0
55114	魂兵	55105	10	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4008	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55100	0	220	3073	0	0	0	0	0	4	0	55100	0	0	0	0	0	0	0	TB_JN_ZD_55100	-	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>4%</color>的技能伤害	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>4%</color>的技能伤害	被动技能	0	0
55115	魂兵	55105	11	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4008	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55100	0	220	3625	0	0	0	0	0	4	0	55100	0	0	0	0	0	0	0	TB_JN_ZD_55100	-	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>4.6%</color>的技能伤害	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>4.6%</color>的技能伤害	被动技能	0	0
55116	魂兵	55105	12	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4008	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55100	0	220	4223	0	0	0	0	0	4	0	55100	0	0	0	0	0	0	0	TB_JN_ZD_55100	-	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>5.2%</color>的技能伤害	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>5.2%</color>的技能伤害	被动技能	0	0
55117	魂兵	55105	13	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4008	580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55100	0	220	4867	0	0	0	0	0	4	0	55100	0	0	0	0	0	0	0	TB_JN_ZD_55100	-	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>5.8%</color>的技能伤害	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>5.8%</color>的技能伤害	被动技能	0	0
55118	魂兵	55105	14	25	4	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4008	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55100	0	220	5557	0	0	0	0	0	4	0	55100	0	0	0	0	0	0	0	TB_JN_ZD_55100	-	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>6.4%</color>的技能伤害	增加皓月冰辉穿戴的珍品件数*<color=#109d06FF>6.4%</color>的技能伤害	被动技能	0	0
