int	int	int	int	string	int	string	string	string	int	string	string	string	string	int	int	int	int	string
224	4	0	4	灵瑶3星红装	5	8阶装备	20882	20871|20872|20873|20874|20875|20876|20877	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>8阶2星</color><color=#fa0101>红色装备</color></r>
225	4	0	4	灵瑶3星红装	5	8阶装备	20883	20871|20872|20873|20874|20875|20876|20877	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>8阶2星</color><color=#fa0101>红色装备</color></r>
226	4	0	4	灵瑶3星红装	5	8阶装备	20884	20871|20872|20873|20874|20875|20876|20877	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>8阶2星</color><color=#fa0101>红色装备</color></r>
227	4	0	4	灵瑶3星红装	5	8阶装备	20885	20871|20872|20873|20874|20875|20876|20877	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>8阶2星</color><color=#fa0101>红色装备</color></r>
228	4	0	4	灵瑶3星红装	5	8阶装备	20886	20871|20872|20873|20874|20875|20876|20877	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>8阶2星</color><color=#fa0101>红色装备</color></r>
229	4	0	4	灵瑶3星红装	5	8阶装备	20887	20871|20872|20873|20874|20875|20876|20877	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>8阶2星</color><color=#fa0101>红色装备</color></r>
230	4	500	4	灵瑶3星红装	6	9阶装备	20981	20971|20972|20973|20974|20975|20976|20977	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>9阶2星</color><color=#fa0101>红色装备</color></r>
231	4	500	4	灵瑶3星红装	6	9阶装备	20982	20971|20972|20973|20974|20975|20976|20977	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>9阶2星</color><color=#fa0101>红色装备</color></r>
232	4	500	4	灵瑶3星红装	6	9阶装备	20983	20971|20972|20973|20974|20975|20976|20977	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>9阶2星</color><color=#fa0101>红色装备</color></r>
233	4	500	4	灵瑶3星红装	6	9阶装备	20984	20971|20972|20973|20974|20975|20976|20977	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>9阶2星</color><color=#fa0101>红色装备</color></r>
234	4	500	4	灵瑶3星红装	6	9阶装备	20985	20971|20972|20973|20974|20975|20976|20977	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>9阶2星</color><color=#fa0101>红色装备</color></r>
235	4	500	4	灵瑶3星红装	6	9阶装备	20986	20971|20972|20973|20974|20975|20976|20977	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>9阶2星</color><color=#fa0101>红色装备</color></r>
236	4	500	4	灵瑶3星红装	6	9阶装备	20987	20971|20972|20973|20974|20975|20976|20977	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>9阶2星</color><color=#fa0101>红色装备</color></r>
237	4	500	4	灵瑶3星红装	7	10阶装备	21081	21071|21072|21073|21074|21075|21076|21077	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>10阶2星</color><color=#fa0101>红色装备</color></r>
238	4	500	4	灵瑶3星红装	7	10阶装备	21082	21071|21072|21073|21074|21075|21076|21077	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>10阶2星</color><color=#fa0101>红色装备</color></r>
239	4	500	4	灵瑶3星红装	7	10阶装备	21083	21071|21072|21073|21074|21075|21076|21077	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>10阶2星</color><color=#fa0101>红色装备</color></r>
240	4	500	4	灵瑶3星红装	7	10阶装备	21084	21071|21072|21073|21074|21075|21076|21077	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>10阶2星</color><color=#fa0101>红色装备</color></r>
241	4	500	4	灵瑶3星红装	7	10阶装备	21085	21071|21072|21073|21074|21075|21076|21077	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>10阶2星</color><color=#fa0101>红色装备</color></r>
242	4	500	4	灵瑶3星红装	7	10阶装备	21086	21071|21072|21073|21074|21075|21076|21077	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>10阶2星</color><color=#fa0101>红色装备</color></r>
243	4	500	4	灵瑶3星红装	7	10阶装备	21087	21071|21072|21073|21074|21075|21076|21077	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>10阶2星</color><color=#fa0101>红色装备</color></r>
244	4	500	4	灵瑶3星红装	8	11阶装备	21181	21171|21172|21173|21174|21175|21176|21177	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>11阶2星</color><color=#fa0101>红色装备</color></r>
245	4	500	4	灵瑶3星红装	8	11阶装备	21182	21171|21172|21173|21174|21175|21176|21177	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>11阶2星</color><color=#fa0101>红色装备</color></r>
246	4	500	4	灵瑶3星红装	8	11阶装备	21183	21171|21172|21173|21174|21175|21176|21177	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>11阶2星</color><color=#fa0101>红色装备</color></r>
247	4	500	4	灵瑶3星红装	8	11阶装备	21184	21171|21172|21173|21174|21175|21176|21177	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>11阶2星</color><color=#fa0101>红色装备</color></r>
248	4	500	4	灵瑶3星红装	8	11阶装备	21185	21171|21172|21173|21174|21175|21176|21177	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>11阶2星</color><color=#fa0101>红色装备</color></r>
249	4	500	4	灵瑶3星红装	8	11阶装备	21186	21171|21172|21173|21174|21175|21176|21177	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>11阶2星</color><color=#fa0101>红色装备</color></r>
250	4	500	4	灵瑶3星红装	8	11阶装备	21187	21171|21172|21173|21174|21175|21176|21177	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>11阶2星</color><color=#fa0101>红色装备</color></r>
251	5	0	1	生命翡翠	1	2级生命翡翠	3502	0	0	0	3501	3	1	0	10000	0	0	0
252	5	0	1	生命翡翠	2	3级生命翡翠	3503	0	0	0	3502	3	1	0	10000	0	0	0
253	5	0	1	生命翡翠	3	4级生命翡翠	3504	0	0	0	3503	3	1	0	10000	0	0	0
254	5	0	1	生命翡翠	4	5级生命翡翠	3505	0	0	0	3504	3	1	0	10000	0	0	0
255	5	0	1	生命翡翠	5	6级生命翡翠	3506	0	0	0	3505	3	1	0	10000	0	0	0
256	5	0	1	生命翡翠	6	7级生命翡翠	3507	0	0	0	3506	3	1	0	10000	0	0	0
257	5	0	1	生命翡翠	7	8级生命翡翠	3508	0	0	0	3507	3	1	0	10000	0	0	0
258	5	0	2	攻击炎晶	1	2级攻击炎晶	3512	0	0	0	3511	3	1	0	10000	0	0	0
259	5	0	2	攻击炎晶	2	3级攻击炎晶	3513	0	0	0	3512	3	1	0	10000	0	0	0
260	5	0	2	攻击炎晶	3	4级攻击炎晶	3514	0	0	0	3513	3	1	0	10000	0	0	0
261	5	0	2	攻击炎晶	4	5级攻击炎晶	3515	0	0	0	3514	3	1	0	10000	0	0	0
262	5	0	2	攻击炎晶	5	6级攻击炎晶	3516	0	0	0	3515	3	1	0	10000	0	0	0
263	5	0	2	攻击炎晶	6	7级攻击炎晶	3517	0	0	0	3516	3	1	0	10000	0	0	0
264	5	0	2	攻击炎晶	7	8级攻击炎晶	3518	0	0	0	3517	3	1	0	10000	0	0	0
265	5	200	3	套装石	1	龙魂套装石	5012	0	0	0	5301	5	1	0	10000	0	0	0
266	5	200	3	套装石	2	灵瑶套装石	5022	0	0	0	5301	5	1	0	10000	0	0	0
