int	int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	string	int	string	string	int 	int 	int 	int 	string	int	int	int	int	int[]	string
20303	3	蝶舞发簪	103	3	0	1	20	1	1	0	1	0	0	5	0	114	0	6	189	0	0	8	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_MZ	4203		<%>	0	0	72	261	EquipPanel	3	0	0	0	14|47|48|23|46	
20304	3	蝶舞道袍	104	4	0	1	20	1	1	0	1	0	0	5	0	117	0	6	255	0	0	8	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_YF	4203		<%>	0	0	74	268	EquipPanel	3	0	0	0	14|47|48|23|46	
20305	3	蝶舞长绦	105	5	0	1	20	1	1	0	1	0	0	5	0	111	0	6	123	0	0	8	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_YD	4203		<%>	0	0	70	254	EquipPanel	3	0	0	0	14|47|48|23|46	
20306	3	蝶舞朱裳	106	6	0	1	20	1	1	0	1	0	0	5	0	116	0	6	227	0	0	8	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_KZ	4203		<%>	0	0	73	265	EquipPanel	3	0	0	0	14|47|48|23|46	
20307	3	蝶舞云靴	107	7	0	1	20	1	1	0	1	0	0	5	0	113	0	6	151	0	0	8	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_XZ	4203		<%>	0	0	71	258	EquipPanel	3	0	0	0	14|47|48|23|46	
20311	3	魔龙	101	1	0	1	20	1	1	0	1	0	0	5	0	456	0	67	157	0	0	68	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	2	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_WQ	1203		<%>	0	0	81	293	EquipPanel	3	0	0	0	14|47|48|23|46	
20312	3	断蛟	102	2	0	1	20	1	1	0	1	0	0	5	0	436	0	67	104	0	0	68	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	2	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_FS	6203		<%>	0	0	76	275	EquipPanel	3	0	0	0	14|47|48|23|46	
20313	3	蝶舞发簪	103	3	0	1	20	1	1	0	1	0	0	5	0	346	0	6	358	0	0	8	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	2	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_MZ	4203		<%>	0	0	78	282	EquipPanel	3	0	0	0	14|47|48|23|46	
20314	3	蝶舞道袍	104	4	0	1	20	1	1	0	1	0	0	5	0	358	0	6	483	0	0	8	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	2	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_YF	4203		<%>	0	0	83	300	EquipPanel	3	0	0	0	14|47|48|23|46	
20315	3	蝶舞长绦	105	5	0	1	20	1	1	0	1	0	0	5	0	234	0	6	232	0	0	8	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	2	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_YD	4203		<%>	0	0	73	265	EquipPanel	3	0	0	0	14|47|48|23|46	
20316	3	蝶舞朱裳	106	6	0	1	20	1	1	0	1	0	0	5	0	352	0	6	429	0	0	8	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	2	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_KZ	4203		<%>	0	0	81	293	EquipPanel	3	0	0	0	14|47|48|23|46	
20317	3	蝶舞云靴	107	7	0	1	20	1	1	0	1	0	0	5	0	338	0	6	286	0	0	8	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	2	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_XZ	4203		<%>	0	0	76	275	EquipPanel	3	0	0	0	14|47|48|23|46	
20321	3	魔龙	101	1	0	1	20	1	1	0	1	0	0	15	0	1316	0	67	230	0	0	68	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_WQ	1203		<%>	0	0	87	314	EquipPanel	3	1	0	0	47|48	
20322	3	断蛟	102	2	0	1	20	1	1	0	1	0	0	15	0	1284	0	67	153	0	0	68	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_FS	6203		<%>	0	0	79	286	EquipPanel	3	1	0	0	47|48	
20323	3	蝶舞发簪	103	3	0	1	20	1	1	0	1	0	0	15	0	1024	0	6	708	0	0	8	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_MZ	4203		<%>	0	0	83	300	EquipPanel	3	1	0	0	47|8|48	
20324	3	蝶舞道袍	104	4	0	1	20	1	1	0	1	0	0	15	0	1044	0	6	955	0	0	8	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_YF	4203		<%>	0	0	91	328	EquipPanel	3	1	0	0	47|8|48	
20325	3	蝶舞长绦	105	5	0	1	20	1	1	0	1	0	0	15	0	728	0	6	460	0	0	8	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_YD	4203		<%>	0	0	75	272	EquipPanel	3	1	0	0	47|8|48	
20326	3	蝶舞朱裳	106	6	0	1	20	1	1	0	1	0	0	15	0	1032	0	6	849	0	0	8	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_KZ	4203		<%>	0	0	87	314	EquipPanel	3	1	0	0	47|8|48	
20327	3	蝶舞云靴	107	7	0	1	20	1	1	0	1	0	0	15	0	1012	0	6	566	0	0	8	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_XZ	4203		<%>	0	0	79	286	EquipPanel	3	1	0	0	47|8|48	
20331	3	魔龙	101	1	0	1	20	1	1	0	1	0	0	15	0	1316	0	67	230	0	0	68	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_WQ	1203		<%>	0	0	87	314	EquipPanel	3	1	0	0	14|47|48|23|46	
20332	3	断蛟	102	2	0	1	20	1	1	0	1	0	0	15	0	1284	0	67	153	0	0	68	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_FS	6203		<%>	0	0	79	286	EquipPanel	3	1	0	0	14|47|48|23|46	
20333	3	蝶舞发簪	103	3	0	1	20	1	1	0	1	0	0	15	0	1024	0	6	708	0	0	8	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_MZ	4203		<%>	0	0	83	300	EquipPanel	3	1	0	0	14|47|48|23|46	
20334	3	蝶舞道袍	104	4	0	1	20	1	1	0	1	0	0	15	0	1044	0	6	955	0	0	8	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_YF	4203		<%>	0	0	91	328	EquipPanel	3	1	0	0	14|47|48|23|46	
20335	3	蝶舞长绦	105	5	0	1	20	1	1	0	1	0	0	15	0	728	0	6	460	0	0	8	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_YD	4203		<%>	0	0	75	272	EquipPanel	3	1	0	0	14|47|48|23|46	
20336	3	蝶舞朱裳	106	6	0	1	20	1	1	0	1	0	0	15	0	1032	0	6	849	0	0	8	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_KZ	4203		<%>	0	0	87	314	EquipPanel	3	1	0	0	14|47|48|23|46	
20337	3	蝶舞云靴	107	7	0	1	20	1	1	0	1	0	0	15	0	1012	0	6	566	0	0	8	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_XZ	4203		<%>	0	0	79	286	EquipPanel	3	1	0	0	14|47|48|23|46	
20341	3	魔龙	101	1	0	1	20	1	1	0	1	0	0	268	0	3616	0	67	286	0	0	68	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	4	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_WQ	1203		<%>	0	0	90	324	EquipPanel	3	1	0	0	47|8|48	
20342	3	断蛟	102	2	0	1	20	1	1	0	1	0	0	268	0	3568	0	67	190	0	0	68	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	4	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_FS	6203		<%>	0	0	82	296	EquipPanel	3	1	0	0	47|8|48	
20343	3	蝶舞发簪	103	3	0	1	20	1	1	0	1	0	0	268	0	2840	0	6	1121	0	0	8	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	4	1	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_MZ	4203		<%>	0	0	86	310	EquipPanel	3	1	0	0	47|8|48	
20344	3	蝶舞道袍	104	4	0	1	20	1	1	0	1	0	0	268	0	2880	0	6	1513	0	0	8	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	4	1	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_YF	4203		<%>	0	0	94	338	EquipPanel	3	1	0	0	47|8|48	
20345	3	蝶舞长绦	105	5	0	1	20	1	1	0	1	0	0	268	0	2104	0	6	728	0	0	8	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	4	1	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_YD	4203		<%>	0	0	78	282	EquipPanel	3	1	0	0	47|8|48	
20346	3	蝶舞朱裳	106	6	0	1	20	1	1	0	1	0	0	268	0	2864	0	6	1345	0	0	8	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	4	1	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_KZ	4203		<%>	0	0	90	324	EquipPanel	3	1	0	0	47|8|48	
20347	3	蝶舞云靴	107	7	0	1	20	1	1	0	1	0	0	268	0	2824	0	6	896	0	0	8	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	4	1	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_XZ	4203		<%>	0	0	82	296	EquipPanel	3	1	0	0	47|8|48	
20351	3	魔龙	101	1	0	1	20	1	1	0	1	0	0	268	0	3616	0	67	286	0	0	68	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	4	2	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_WQ	1203	（<color=#35e122>可合成</color>同阶红色2星装备）	<%>	0	0	90	324	EquipPanel	3	1	0	0	47|48|23|46	
20352	3	断蛟	102	2	0	1	20	1	1	0	1	0	0	268	0	3568	0	67	190	0	0	68	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	4	2	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_FS	6203	（<color=#35e122>可合成</color>同阶红色2星装备）	<%>	0	0	82	296	EquipPanel	3	1	0	0	47|48|23|46	
20353	3	蝶舞发簪	103	3	0	1	20	1	1	0	1	0	0	268	0	2840	0	6	1121	0	0	8	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	4	2	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_MZ	4203	（<color=#35e122>可合成</color>同阶红色2星装备）	<%>	0	0	86	310	EquipPanel	3	1	0	0	47|48|23|46	
20354	3	蝶舞道袍	104	4	0	1	20	1	1	0	1	0	0	268	0	2880	0	6	1513	0	0	8	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	4	2	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_YF	4203	（<color=#35e122>可合成</color>同阶红色2星装备）	<%>	0	0	94	338	EquipPanel	3	1	0	0	47|48|23|46	
20355	3	蝶舞长绦	105	5	0	1	20	1	1	0	1	0	0	268	0	2104	0	6	728	0	0	8	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	4	2	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_YD	4203	（<color=#35e122>可合成</color>同阶红色2星装备）	<%>	0	0	78	282	EquipPanel	3	1	0	0	47|48|23|46	
20356	3	蝶舞朱裳	106	6	0	1	20	1	1	0	1	0	0	268	0	2864	0	6	1345	0	0	8	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	4	2	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_KZ	4203	（<color=#35e122>可合成</color>同阶红色2星装备）	<%>	0	0	90	324	EquipPanel	3	1	0	0	47|48|23|46	
20357	3	蝶舞云靴	107	7	0	1	20	1	1	0	1	0	0	268	0	2824	0	6	896	0	0	8	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	4	2	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_XZ	4203	（<color=#35e122>可合成</color>同阶红色2星装备）	<%>	0	0	82	296	EquipPanel	3	1	0	0	47|48|23|46	
20361	3	魔龙	101	1	0	1	20	1	1	0	1	0	0	1340	0	9600	0	67	497	0	0	68	923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	5	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_WQ	1203		<%>	0	0	90	324	EquipPanel	3	1	0	0	14|47|48|23|46	
20362	3	断蛟	102	2	0	1	20	1	1	0	1	0	0	1340	0	9488	0	67	331	0	0	68	615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	5	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_FS	6203		<%>	0	0	82	296	EquipPanel	3	1	0	0	14|47|48|23|46	
20363	3	蝶舞发簪	103	3	0	1	20	1	1	0	1	0	0	1340	0	7568	0	6	2495	0	0	8	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	5	1	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_MZ	4203		<%>	0	0	86	310	EquipPanel	3	1	0	0	14|47|48|23|46	
20364	3	蝶舞道袍	104	4	0	1	20	1	1	0	1	0	0	1340	0	7648	0	6	3368	0	0	8	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	5	1	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_YF	4203		<%>	0	0	94	338	EquipPanel	3	1	0	0	14|47|48|23|46	
20365	3	蝶舞长绦	105	5	0	1	20	1	1	0	1	0	0	1340	0	5792	0	6	1621	0	0	8	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	5	1	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_YD	4203		<%>	0	0	78	282	EquipPanel	3	1	0	0	14|47|48|23|46	
20366	3	蝶舞朱裳	106	6	0	1	20	1	1	0	1	0	0	1340	0	7616	0	6	2994	0	0	8	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	5	1	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_KZ	4203		<%>	0	0	90	324	EquipPanel	3	1	0	0	14|47|48|23|46	
20367	3	蝶舞云靴	107	7	0	1	20	1	1	0	1	0	0	1340	0	7536	0	6	1996	0	0	8	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	5	1	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_XZ	4203		<%>	0	0	82	296	EquipPanel	3	1	0	0	14|47|48|23|46	
20371	3	魔龙	101	1	0	1	20	1	1	0	1	0	0	1340	0	9600	0	67	497	0	0	68	923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	5	2	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_WQ	1203		<%>	0	0	90	324	EquipPanel	3	1	0	0	47|48|23|46	
20372	3	断蛟	102	2	0	1	20	1	1	0	1	0	0	1340	0	9488	0	67	331	0	0	68	615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	5	2	0	0	0	0	0	0	0	0	0	<%>	TB_FS_3_FS	6203		<%>	0	0	82	296	EquipPanel	3	1	0	0	47|48|23|46	
20373	3	蝶舞发簪	103	3	0	1	20	1	1	0	1	0	0	1340	0	7568	0	6	2495	0	0	8	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	5	2	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_MZ	4203		<%>	0	0	86	310	EquipPanel	3	1	0	0	47|48|23|46	
20374	3	蝶舞道袍	104	4	0	1	20	1	1	0	1	0	0	1340	0	7648	0	6	3368	0	0	8	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	5	2	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_YF	4203		<%>	0	0	94	338	EquipPanel	3	1	0	0	47|48|23|46	
20375	3	蝶舞长绦	105	5	0	1	20	1	1	0	1	0	0	1340	0	5792	0	6	1621	0	0	8	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	5	2	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_YD	4203		<%>	0	0	78	282	EquipPanel	3	1	0	0	47|48|23|46	
20376	3	蝶舞朱裳	106	6	0	1	20	1	1	0	1	0	0	1340	0	7616	0	6	2994	0	0	8	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	5	2	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_KZ	4203		<%>	0	0	90	324	EquipPanel	3	1	0	0	47|48|23|46	
20377	3	蝶舞云靴	107	7	0	1	20	1	1	0	1	0	0	1340	0	7536	0	6	1996	0	0	8	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	5	2	0	0	0	0	0	0	0	0	203	<%>	TB_FS_3_XZ	4203		<%>	0	0	82	296	EquipPanel	3	1	0	0	47|48|23|46	
20401	4	云雾缭绕	101	1	0	1	90	1	1	0	1	0	0	5	0	228	0	67	163	0	0	68	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_WQ	1204		<%>	0	0	104	370	EquipPanel	3	0	0	0	14|47|48|23|46	
20402	4	沉星	102	2	0	1	90	1	1	0	1	0	0	5	0	218	0	67	108	0	0	68	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_FS	6204		<%>	0	0	99	355	EquipPanel	3	0	0	0	14|47|48|23|46	
20403	4	青云发簪	103	3	0	1	90	1	1	0	1	0	0	5	0	176	0	6	305	0	0	8	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_MZ	4204		<%>	0	0	101	361	EquipPanel	3	0	0	0	14|47|48|23|46	
20404	4	青云道袍	104	4	0	1	90	1	1	0	1	0	0	5	0	182	0	6	411	0	0	8	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_YF	4204		<%>	0	0	107	379	EquipPanel	3	0	0	0	14|47|48|23|46	
20405	4	青云长绦	105	5	0	1	90	1	1	0	1	0	0	5	0	169	0	6	198	0	0	8	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_YD	4204		<%>	0	0	96	345	EquipPanel	3	0	0	0	14|47|48|23|46	
20406	4	青云朱裳	106	6	0	1	90	1	1	0	1	0	0	5	0	179	0	6	366	0	0	8	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_KZ	4204		<%>	0	0	104	370	EquipPanel	3	0	0	0	14|47|48|23|46	
20407	4	青云云靴	107	7	0	1	90	1	1	0	1	0	0	5	0	173	0	6	244	0	0	8	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	1	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_XZ	4204		<%>	0	0	99	355	EquipPanel	3	0	0	0	14|47|48|23|46	
20411	4	云雾缭绕	101	1	0	1	90	1	1	0	1	0	0	5	0	658	0	67	202	0	0	68	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	2	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_WQ	1204		<%>	0	0	122	424	EquipPanel	3	0	0	0	14|47|48|23|46	
20412	4	沉星	102	2	0	1	90	1	1	0	1	0	0	5	0	642	0	67	134	0	0	68	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	2	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_FS	6204		<%>	0	0	109	385	EquipPanel	3	0	0	0	14|47|48|23|46	
20413	4	青云发簪	103	3	0	1	90	1	1	0	1	0	0	5	0	512	0	6	482	0	0	8	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	2	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_MZ	4204		<%>	0	0	115	403	EquipPanel	3	0	0	0	14|47|48|23|46	
20414	4	青云道袍	104	4	0	1	90	1	1	0	1	0	0	5	0	522	0	6	651	0	0	8	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	2	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_YF	4204		<%>	0	0	128	442	EquipPanel	3	0	0	0	14|47|48|23|46	
20415	4	青云长绦	105	5	0	1	90	1	1	0	1	0	0	5	0	364	0	6	313	0	0	8	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	2	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_YD	4204		<%>	0	0	102	364	EquipPanel	3	0	0	0	14|47|48|23|46	
20416	4	青云朱裳	106	6	0	1	90	1	1	0	1	0	0	5	0	516	0	6	578	0	0	8	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	2	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_KZ	4204		<%>	0	0	122	424	EquipPanel	3	0	0	0	14|47|48|23|46	
20417	4	青云云靴	107	7	0	1	90	1	1	0	1	0	0	5	0	506	0	6	385	0	0	8	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	2	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_XZ	4204		<%>	0	0	109	385	EquipPanel	3	0	0	0	14|47|48|23|46	
20421	4	云雾缭绕	101	1	0	1	90	1	1	0	1	0	0	15	0	1808	0	67	350	0	0	68	650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_WQ	1204		<%>	0	0	138	472	EquipPanel	3	1	0	0	14|47|48|23|46	
20422	4	沉星	102	2	0	1	90	1	1	0	1	0	0	15	0	1784	0	67	233	0	0	68	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_FS	6204		<%>	0	0	117	409	EquipPanel	3	1	0	0	14|47|48|23|46	
20423	4	青云发簪	103	3	0	1	90	1	1	0	1	0	0	15	0	1420	0	6	1247	0	0	8	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_MZ	4204		<%>	0	0	128	442	EquipPanel	3	1	0	0	14|47|48|23|46	
20424	4	青云道袍	104	4	0	1	90	1	1	0	1	0	0	15	0	1440	0	6	1684	0	0	8	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_YF	4204		<%>	0	0	149	505	EquipPanel	3	1	0	0	14|47|48|23|46	
20425	4	青云长绦	105	5	0	1	90	1	1	0	1	0	0	15	0	1052	0	6	810	0	0	8	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_YD	4204		<%>	0	0	107	379	EquipPanel	3	1	0	0	14|47|48|23|46	
20426	4	青云朱裳	106	6	0	1	90	1	1	0	1	0	0	15	0	1432	0	6	1497	0	0	8	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_KZ	4204		<%>	0	0	138	472	EquipPanel	3	1	0	0	14|47|48|23|46	
20427	4	青云云靴	107	7	0	1	90	1	1	0	1	0	0	15	0	1412	0	6	998	0	0	8	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	0	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_XZ	4204		<%>	0	0	117	409	EquipPanel	3	1	0	0	14|47|48|23|46	
20431	4	云雾缭绕	101	1	0	1	90	1	1	0	1	0	0	15	0	1808	0	67	350	0	0	68	650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_WQ	1204		<%>	0	0	138	472	EquipPanel	3	1	0	0	14|47|48|23|46	
20432	4	沉星	102	2	0	1	90	1	1	0	1	0	0	15	0	1784	0	67	233	0	0	68	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_FS	6204		<%>	0	0	117	409	EquipPanel	3	1	0	0	14|47|48|23|46	
20433	4	青云发簪	103	3	0	1	90	1	1	0	1	0	0	15	0	1420	0	6	1247	0	0	8	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_MZ	4204		<%>	0	0	128	442	EquipPanel	3	1	0	0	14|47|48|23|46	
20434	4	青云道袍	104	4	0	1	90	1	1	0	1	0	0	15	0	1440	0	6	1684	0	0	8	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_YF	4204		<%>	0	0	149	505	EquipPanel	3	1	0	0	14|47|48|23|46	
20435	4	青云长绦	105	5	0	1	90	1	1	0	1	0	0	15	0	1052	0	6	810	0	0	8	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_YD	4204		<%>	0	0	107	379	EquipPanel	3	1	0	0	14|47|48|23|46	
20436	4	青云朱裳	106	6	0	1	90	1	1	0	1	0	0	15	0	1432	0	6	1497	0	0	8	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_KZ	4204		<%>	0	0	138	472	EquipPanel	3	1	0	0	14|47|48|23|46	
20437	4	青云云靴	107	7	0	1	90	1	1	0	1	0	0	15	0	1412	0	6	998	0	0	8	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	3	1	0	0	0	0	0	0	0	0	0	<%>	TB_FS_4_XZ	4204		<%>	0	0	117	409	EquipPanel	3	1	0	0	14|47|48|23|46	
